NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Study Type,Start Date,Primary Completion Date,Completion Date,Locations
NCT07100054,Pharmacogenomic and Circulating Biomarkers for CDK4/6 Inhibitors,https://clinicaltrials.gov/study/NCT07100054,NOT_YET_RECRUITING,"CDK4/6 Inhibitor|Breast Cancer|CYP3A4 Protein, Human|Drug Interaction|Pharmacogenetic Testing",GENETIC: Whole gene sequencing|OTHER: Drug-drug interaction analysis|OTHER: Biomarker analysis,London Health Sciences Centre Research Institute OR Lawson Research Institute of St. Joseph's,,FEMALE,"ADULT, OLDER_ADULT",OBSERVATIONAL,2025-09,2028-09,2028-09,"London Health Sciences Centre Research Institute, London, Ontario, Canada"
NCT07100041,Use of Breathing Exercises and Stress Balls During Dressing Changes in Burn Patients,https://clinicaltrials.gov/study/NCT07100041,NOT_YET_RECRUITING,Anxiety|Breathing Exercise|Burns (Physical Finding)|Pain|Pain Management|Stress Ball,OTHER: Breathing Exercise Group|OTHER: Stress Ball Group|OTHER: Control (Standard Treatment) Group,Hasan Kalyoncu University,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-07,2025-09-10,2025-10,
NCT07100028,Hall Technique vs Conventional Technique in Permanent Teeth,https://clinicaltrials.gov/study/NCT07100028,NOT_YET_RECRUITING,Dental Caries|Crowned Posterior Teeth,OTHER: SSC crown with Hall technique|OTHER: SSC with conventional technique,Hacettepe University,,ALL,CHILD,INTERVENTIONAL,2025-09-07,2027-12-30,2028-06-30,"Hacettepe university, pediatric dentistry, Ankara, Altindag, 06100, Turkey"
NCT07100015,The Effect of Shoulder Massage and Therapeutic Touch on Pain and Anxiety After Laparoscopic Cholecystectomy,https://clinicaltrials.gov/study/NCT07100015,COMPLETED,Massage Therapy|Pain|Anxiety|Theropathic Touch,DEVICE: Control Group|DEVICE: therapeutic touch|DEVICE: Shoulder massage,Giresun University,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2024-04-17,2024-05-01,2024-06-01,"Giresun Universitesi, Giresun, Piraziz, 28000, Turkey"
NCT07100002,Comparing the Efficacy of Earplugs and Eye Masks on Pain and Sleep Quality,https://clinicaltrials.gov/study/NCT07100002,COMPLETED,Sleep Quality|Pain|Intensive Care Medicine|Cardiac Surgery,DEVICE: Control Group|DEVICE: Earplug Group|DEVICE: Eye mask Group,Giresun University,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2024-01-01,2024-07-01,2025-01-01,"Giresun Universitesi, Giresun, Piraziz, 28000, Turkey"
NCT07099989,Pharmacokinetics of GATE-251 in Fasted or Fed State,https://clinicaltrials.gov/study/NCT07099989,RECRUITING,Healthy Volunteers in Fed and Fasted State,DRUG: Zelquistinel 3 mg|DRUG: Zelquistinel 10 mg,"Gate Neurosciences, Inc",Dr. Vince Clinical Research,ALL,ADULT,INTERVENTIONAL,2025-07-24,2025-11-01,2025-12,"Dr. Vince Clinical Research, Overland Park, Kansas, 66212, United States"
NCT07099976,PromotIng Optimal Treatment for Community-acquired PNeumonia in EmErgency Rooms,https://clinicaltrials.gov/study/NCT07099976,NOT_YET_RECRUITING,Community-Acquired Pneumonia (CAP)|Pneumonia,DIAGNOSTIC_TEST: The novel care pathway intervention|OTHER: Usual Care Alone,Jeffrey,,ALL,"CHILD, ADULT",INTERVENTIONAL,2025-09-01,2029-12-31,2030-06-30,"Alberta Children's hospital, Calgary, Alberta, T3B 6A8, Canada|Stollery Children's Hospital, Edmonton, Alberta, T6G 2B7, Canada|BC Children's Hospital, Vancouver, British Columbia, V6H 3N1, Canada|McMaster Children's Hospital, Hamilton, Ontario, L8S 4K1, Canada|Children's Hospital of Eastern Ontario (CHEO), Ottawa, Ontario, K1H 8M8, Canada|The Hospital for Sick Children, Toronto, Ontario, M5G 1E8, Canada"
NCT07099963,"Frequency and Severity of Respiratory Acidosis During One-lung Ventilation, a Retrospective Pilot Study to Compare Clinician Settings and Those Proposed by the VentilO Application",https://clinicaltrials.gov/study/NCT07099963,NOT_YET_RECRUITING,Thoracic|Surgery|Mechanical Ventilation|Hypercapnia|Acidosis|One Lung Ventillation (OLV)|Smartphone Application,OTHER: one lung ventilation,Laval University,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2025-07,2025-12,2026-06,"Institut universitaire de cardiologie et de pneumologie de Québec - Université Laval, Quebec, G1V4G5, Canada"
NCT07099950,Dose-Dependent Effects of Low-Intensity Focused Ultrasound,https://clinicaltrials.gov/study/NCT07099950,RECRUITING,Healthy Controls,OTHER: Low-intensity focused ultrasound,"Laureate Institute for Brain Research, Inc.",,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-04-22,2026-08,2026-12,"Laureate Institute for Brain Research, Tulsa, Oklahoma, 74136, United States"
NCT07099937,Relationship Between Thyroid Dysfunction and Diabetes,https://clinicaltrials.gov/study/NCT07099937,NOT_YET_RECRUITING,Type 2 Diabetes Mellitus (T2DM)|Thyroid Dysfunction|Metabolic Syndrome|Upper Egypt Patients,OTHER: Observational cross-sectional study with no intervention.,Assiut University,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2025-09-01,2026-09,2026-10,
